benchmark,mode,value
test-fmath,baseline,1440.0
test-llong,baseline,992.0
test-lswlr,baseline,906.0
test-math,baseline,2129.0
test-fmath,victim,1402.5
test-llong,victim,987.5
test-lswlr,victim,906.0
test-math,victim,2088.0
test-fmath,miss,1369.5
test-llong,miss,985.25
test-lswlr,miss,906.0
test-math,miss,2067.75
test-fmath,stream,2566.0
test-llong,stream,1492.5
test-lswlr,stream,1301.0
test-math,stream,4390.5
test-fmath,miss_stream,1984.9166666666667
test-llong,miss_stream,1418.3333333333333
test-lswlr,miss_stream,1265.0
test-math,miss_stream,3849.1666666666665
test-fmath,victim_stream,2215.5833333333335
test-llong,victim_stream,1429.75
test-lswlr,victim_stream,1265.0
test-math,victim_stream,3966.25
